Team,League,Year,G,W,L,Playoffs,RankSeason,RankPlayoffs,RS,RA,BA,OBP,SLG,OPS,OOBP,OSLG
ARI,NL,2012,162,81,81,FALSE,,,734,688,0.259,0.328,0.418,0.746,0.317,0.415
ATL,NL,2012,162,94,68,TRUE,4,5,700,600,0.247,0.32,0.389,0.709,0.306,0.378
BAL,AL,2012,162,93,69,TRUE,5,4,712,705,0.247,0.311,0.417,0.728,0.315,0.403
BOS,AL,2012,162,69,93,FALSE,,,734,806,0.26,0.315,0.415,0.73,0.331,0.428
CHC,NL,2012,162,61,101,FALSE,,,613,759,0.24,0.302,0.378,0.68,0.335,0.424
CHW,AL,2012,162,85,77,FALSE,,,748,676,0.255,0.318,0.422,0.74,0.319,0.405
CIN,NL,2012,162,97,65,TRUE,2,4,669,588,0.251,0.315,0.411,0.726,0.305,0.39
CLE,AL,2012,162,68,94,FALSE,,,667,845,0.251,0.324,0.381,0.705,0.336,0.43
COL,NL,2012,162,64,98,FALSE,,,758,890,0.274,0.33,0.436,0.766,0.357,0.47
DET,AL,2012,162,88,74,TRUE,6,2,726,670,0.268,0.335,0.422,0.757,0.314,0.402
HOU,NL,2012,162,55,107,FALSE,,,583,794,0.236,0.302,0.371,0.673,0.337,0.427
KCR,AL,2012,162,72,90,FALSE,,,676,746,0.265,0.317,0.4,0.717,0.339,0.423
LAA,AL,2012,162,89,73,FALSE,,,767,699,0.274,0.332,0.433,0.765,0.31,0.403
LAD,NL,2012,162,86,76,FALSE,,,637,597,0.252,0.317,0.374,0.691,0.31,0.364
MIA,NL,2012,162,69,93,FALSE,,,609,724,0.244,0.308,0.382,0.69,0.327,0.399
MIL,NL,2012,162,83,79,FALSE,,,776,733,0.259,0.325,0.437,0.762,0.326,0.414
MIN,AL,2012,162,66,96,FALSE,,,701,832,0.26,0.325,0.39,0.715,0.333,0.442
NYM,NL,2012,162,74,88,FALSE,,,650,709,0.249,0.316,0.386,0.702,0.315,0.401
NYY,AL,2012,162,95,67,TRUE,3,3,804,668,0.265,0.337,0.453,0.79,0.311,0.419
OAK,AL,2012,162,94,68,TRUE,4,4,713,614,0.238,0.31,0.404,0.714,0.306,0.378
PHI,NL,2012,162,81,81,FALSE,,,684,680,0.255,0.317,0.4,0.717,0.306,0.407
PIT,NL,2012,162,79,83,FALSE,,,651,674,0.243,0.304,0.395,0.699,0.314,0.39
SDP,NL,2012,162,76,86,FALSE,,,651,710,0.247,0.319,0.38,0.699,0.319,0.398
SEA,AL,2012,162,75,87,FALSE,,,619,651,0.234,0.296,0.369,0.665,0.308,0.394
SFG,NL,2012,162,94,68,TRUE,4,1,718,649,0.269,0.327,0.397,0.724,0.313,0.393
STL,NL,2012,162,88,74,TRUE,6,3,765,648,0.271,0.338,0.421,0.759,0.313,0.387
TBR,AL,2012,162,90,72,FALSE,,,697,577,0.24,0.317,0.394,0.711,0.294,0.352
TEX,AL,2012,162,93,69,TRUE,5,5,808,707,0.273,0.334,0.446,0.78,0.309,0.408
TOR,AL,2012,162,73,89,FALSE,,,716,784,0.245,0.309,0.407,0.716,0.335,0.438
WSN,NL,2012,162,98,64,TRUE,1,4,731,594,0.261,0.322,0.428,0.75,0.303,0.373
ARI,NL,2011,162,94,68,TRUE,5,4,731,662,0.25,0.322,0.413,0.735,0.316,0.409
ATL,NL,2011,162,89,73,FALSE,,,641,605,0.243,0.308,0.387,0.695,0.31,0.361
BAL,AL,2011,162,69,93,FALSE,,,708,860,0.257,0.316,0.413,0.729,0.341,0.46
BOS,AL,2011,162,90,72,FALSE,,,875,737,0.28,0.349,0.461,0.81,0.322,0.392
CHC,NL,2011,162,71,91,FALSE,,,654,756,0.256,0.314,0.401,0.715,0.335,0.413
CHW,AL,2011,162,79,83,FALSE,,,654,706,0.252,0.319,0.388,0.707,0.317,0.397
CIN,NL,2011,162,79,83,FALSE,,,735,720,0.256,0.326,0.408,0.734,0.325,0.415
CLE,AL,2011,162,80,82,FALSE,,,704,760,0.25,0.317,0.396,0.713,0.323,0.413
COL,NL,2011,162,73,89,FALSE,,,735,774,0.258,0.329,0.41,0.739,0.331,0.431
DET,AL,2011,162,95,67,TRUE,4,3,787,711,0.277,0.34,0.434,0.774,0.321,0.396
FLA,NL,2011,162,72,90,FALSE,,,625,702,0.247,0.318,0.388,0.706,0.316,0.401
HOU,NL,2011,162,56,106,FALSE,,,615,796,0.258,0.311,0.374,0.685,0.337,0.432
KCR,AL,2011,162,71,91,FALSE,,,730,762,0.275,0.329,0.415,0.744,0.337,0.425
LAA,AL,2011,162,86,76,FALSE,,,667,633,0.253,0.313,0.402,0.715,0.313,0.388
LAD,NL,2011,161,82,79,FALSE,,,644,612,0.257,0.322,0.375,0.697,0.31,0.371
MIL,NL,2011,162,96,66,TRUE,3,3,721,638,0.261,0.325,0.425,0.75,0.304,0.385
MIN,AL,2011,162,63,99,FALSE,,,619,804,0.247,0.306,0.36,0.666,0.34,0.435
NYM,NL,2011,162,77,85,FALSE,,,718,742,0.264,0.335,0.391,0.726,0.332,0.411
NYY,AL,2011,162,97,65,TRUE,2,4,867,657,0.263,0.343,0.444,0.787,0.322,0.399
OAK,AL,2011,162,74,88,FALSE,,,645,679,0.244,0.311,0.369,0.68,0.317,0.378
PHI,NL,2011,162,102,60,TRUE,1,4,713,529,0.253,0.323,0.395,0.718,0.296,0.361
PIT,NL,2011,162,72,90,FALSE,,,610,712,0.244,0.309,0.368,0.677,0.338,0.409
SDP,NL,2011,162,71,91,FALSE,,,593,611,0.237,0.305,0.349,0.654,0.314,0.375
SEA,AL,2011,162,67,95,FALSE,,,556,675,0.233,0.292,0.348,0.64,0.31,0.386
SFG,NL,2011,162,86,76,FALSE,,,570,578,0.242,0.303,0.368,0.671,0.309,0.346
STL,NL,2011,162,90,72,TRUE,7,1,762,692,0.273,0.341,0.425,0.766,0.319,0.398
TBR,AL,2011,162,91,71,TRUE,6,4,707,614,0.244,0.322,0.402,0.724,0.303,0.383
TEX,AL,2011,162,96,66,TRUE,3,2,855,677,0.283,0.34,0.46,0.8,0.307,0.392
TOR,AL,2011,162,81,81,FALSE,,,743,761,0.249,0.317,0.413,0.73,0.328,0.419
WSN,NL,2011,161,80,81,FALSE,,,624,643,0.242,0.309,0.383,0.692,0.319,0.382
ARI,NL,2010,162,65,97,FALSE,,,713,836,0.25,0.325,0.416,0.741,0.34,0.448
ATL,NL,2010,162,91,71,TRUE,6,4,738,629,0.258,0.339,0.401,0.74,0.314,0.376
BAL,AL,2010,162,66,96,FALSE,,,613,785,0.259,0.316,0.386,0.702,0.336,0.434
BOS,AL,2010,162,89,73,FALSE,,,818,744,0.268,0.339,0.451,0.79,0.327,0.399
CHC,NL,2010,162,75,87,FALSE,,,685,767,0.257,0.32,0.401,0.721,0.334,0.398
CHW,AL,2010,162,88,74,FALSE,,,752,704,0.268,0.332,0.42,0.752,0.325,0.395
CIN,NL,2010,162,91,71,TRUE,6,4,790,685,0.272,0.338,0.436,0.774,0.323,0.396
CLE,AL,2010,162,69,93,FALSE,,,646,752,0.248,0.322,0.378,0.7,0.342,0.416
COL,NL,2010,162,83,79,FALSE,,,770,717,0.263,0.336,0.425,0.761,0.326,0.397
DET,AL,2010,162,81,81,FALSE,,,751,743,0.268,0.335,0.415,0.75,0.332,0.4
FLA,NL,2010,162,80,82,FALSE,,,719,717,0.254,0.321,0.403,0.724,0.331,0.398
HOU,NL,2010,162,76,86,FALSE,,,611,729,0.247,0.303,0.362,0.665,0.33,0.402
KCR,AL,2010,162,67,95,FALSE,,,676,845,0.274,0.331,0.399,0.73,0.342,0.435
LAA,AL,2010,162,80,82,FALSE,,,681,702,0.248,0.311,0.39,0.701,0.327,0.403
LAD,NL,2010,162,80,82,FALSE,,,667,692,0.252,0.322,0.379,0.701,0.316,0.378
MIL,NL,2010,162,77,85,FALSE,,,750,804,0.262,0.335,0.424,0.759,0.338,0.427
MIN,AL,2010,162,94,68,TRUE,4,4,781,671,0.273,0.341,0.422,0.763,0.317,0.417
NYM,NL,2010,162,79,83,FALSE,,,656,652,0.249,0.314,0.383,0.697,0.33,0.394
NYY,AL,2010,162,95,67,TRUE,3,3,859,693,0.267,0.35,0.436,0.786,0.322,0.399
OAK,AL,2010,162,81,81,FALSE,,,663,626,0.256,0.324,0.378,0.702,0.313,0.379
PHI,NL,2010,162,97,65,TRUE,1,3,772,640,0.26,0.332,0.413,0.745,0.311,0.405
PIT,NL,2010,162,57,105,FALSE,,,587,866,0.242,0.304,0.373,0.677,0.348,0.449
SDP,NL,2010,162,90,72,FALSE,,,665,581,0.246,0.317,0.371,0.688,0.308,0.368
SEA,AL,2010,162,61,101,FALSE,,,513,698,0.236,0.298,0.339,0.637,0.313,0.401
SFG,NL,2010,162,92,70,TRUE,5,1,697,583,0.257,0.321,0.408,0.729,0.313,0.37
STL,NL,2010,162,86,76,FALSE,,,736,641,0.263,0.332,0.402,0.734,0.319,0.387
TBR,AL,2010,162,96,66,TRUE,2,4,802,649,0.247,0.333,0.403,0.736,0.308,0.404
TEX,AL,2010,162,90,72,TRUE,7,2,787,687,0.276,0.338,0.419,0.757,0.319,0.39
TOR,AL,2010,162,85,77,FALSE,,,755,728,0.248,0.312,0.454,0.766,0.326,0.405
WSN,NL,2010,162,69,93,FALSE,,,655,742,0.25,0.318,0.39,0.708,0.33,0.41
ARI,NL,2009,162,70,92,FALSE,,,720,782,0.253,0.324,0.418,0.742,0.33,0.419
ATL,NL,2009,162,86,76,FALSE,,,735,641,0.263,0.339,0.405,0.744,0.323,0.39
BAL,AL,2009,162,64,98,FALSE,,,741,876,0.268,0.332,0.415,0.747,0.353,0.476
BOS,AL,2009,162,95,67,TRUE,3,4,872,736,0.27,0.352,0.454,0.806,0.335,0.422
CHC,NL,2009,161,83,78,FALSE,,,707,672,0.255,0.332,0.407,0.739,0.324,0.391
CHW,AL,2009,162,79,83,FALSE,,,724,732,0.258,0.329,0.411,0.74,0.325,0.414
CIN,NL,2009,162,78,84,FALSE,,,673,723,0.247,0.318,0.394,0.712,0.333,0.418
CLE,AL,2009,162,65,97,FALSE,,,773,865,0.264,0.339,0.417,0.756,0.351,0.443
COL,NL,2009,162,92,70,TRUE,5,4,804,715,0.261,0.343,0.441,0.784,0.328,0.405
DET,AL,2009,163,86,77,FALSE,,,743,745,0.26,0.331,0.416,0.747,0.336,0.422
FLA,NL,2009,162,87,75,FALSE,,,772,766,0.268,0.34,0.416,0.756,0.333,0.408
HOU,NL,2009,162,74,88,FALSE,,,643,770,0.26,0.319,0.4,0.719,0.344,0.44
KCR,AL,2009,162,65,97,FALSE,,,686,842,0.259,0.318,0.405,0.723,0.343,0.422
LAA,AL,2009,162,97,65,TRUE,2,3,883,761,0.285,0.35,0.441,0.791,0.338,0.432
LAD,NL,2009,162,95,67,TRUE,3,3,780,611,0.27,0.346,0.412,0.758,0.312,0.361
MIL,NL,2009,162,80,82,FALSE,,,785,818,0.263,0.341,0.426,0.767,0.345,0.45
MIN,AL,2009,163,87,76,TRUE,7,4,817,765,0.274,0.345,0.429,0.774,0.331,0.431
NYM,NL,2009,162,70,92,FALSE,,,671,757,0.27,0.335,0.394,0.729,0.342,0.418
NYY,AL,2009,162,103,59,TRUE,1,1,915,753,0.283,0.362,0.478,0.84,0.327,0.408
OAK,AL,2009,162,75,87,FALSE,,,759,761,0.262,0.328,0.397,0.725,0.329,0.413
PHI,NL,2009,162,93,69,TRUE,4,2,820,709,0.258,0.334,0.447,0.781,0.329,0.427
PIT,NL,2009,161,62,99,FALSE,,,636,768,0.252,0.318,0.387,0.705,0.346,0.442
SDP,NL,2009,162,75,87,FALSE,,,638,769,0.242,0.321,0.381,0.702,0.333,0.406
SEA,AL,2009,162,85,77,FALSE,,,640,692,0.258,0.314,0.402,0.716,0.316,0.394
SFG,NL,2009,162,88,74,FALSE,,,657,611,0.257,0.309,0.389,0.698,0.314,0.372
STL,NL,2009,162,91,71,TRUE,6,4,730,640,0.263,0.332,0.415,0.747,0.319,0.386
TBR,AL,2009,162,84,78,FALSE,,,803,754,0.263,0.343,0.439,0.782,0.324,0.417
TEX,AL,2009,162,87,75,FALSE,,,784,740,0.26,0.32,0.445,0.765,0.331,0.416
TOR,AL,2009,162,75,87,FALSE,,,798,771,0.266,0.333,0.44,0.773,0.339,0.434
WSN,NL,2009,162,59,103,FALSE,,,710,874,0.258,0.337,0.406,0.743,0.352,0.45
ARI,NL,2008,162,82,80,FALSE,,,720,706,0.251,0.327,0.415,0.742,0.318,0.398
ATL,NL,2008,162,72,90,FALSE,,,753,778,0.27,0.345,0.408,0.753,0.336,0.423
BAL,AL,2008,161,68,93,FALSE,,,782,869,0.267,0.333,0.429,0.762,0.361,0.435
BOS,AL,2008,162,95,67,TRUE,3,3,845,694,0.28,0.358,0.447,0.805,0.323,0.39
CHC,NL,2008,161,97,64,TRUE,2,4,855,671,0.278,0.354,0.443,0.797,0.316,0.395
CHW,AL,2008,163,89,74,TRUE,6,4,811,729,0.263,0.332,0.448,0.78,0.32,0.41
CIN,NL,2008,162,74,88,FALSE,,,704,800,0.247,0.321,0.408,0.729,0.345,0.45
CLE,AL,2008,162,81,81,FALSE,,,805,761,0.262,0.339,0.424,0.763,0.33,0.424
COL,NL,2008,162,74,88,FALSE,,,747,822,0.263,0.336,0.415,0.751,0.344,0.431
DET,AL,2008,162,74,88,FALSE,,,821,857,0.271,0.34,0.444,0.784,0.353,0.437
FLA,NL,2008,161,84,77,FALSE,,,770,767,0.254,0.326,0.433,0.759,0.333,0.407
HOU,NL,2008,161,86,75,FALSE,,,712,743,0.263,0.323,0.415,0.738,0.328,0.44
KCR,AL,2008,162,75,87,FALSE,,,691,781,0.269,0.32,0.397,0.717,0.328,0.415
LAA,AL,2008,162,100,62,TRUE,1,4,765,697,0.268,0.33,0.413,0.743,0.323,0.406
LAD,NL,2008,162,84,78,TRUE,7,3,700,648,0.264,0.333,0.399,0.732,0.315,0.376
MIL,NL,2008,162,90,72,TRUE,5,4,750,689,0.253,0.325,0.431,0.756,0.323,0.406
MIN,AL,2008,163,88,75,FALSE,,,829,745,0.279,0.34,0.408,0.748,0.324,0.431
NYM,NL,2008,162,89,73,FALSE,,,799,715,0.266,0.34,0.42,0.76,0.331,0.397
NYY,AL,2008,162,89,73,FALSE,,,789,727,0.271,0.342,0.427,0.769,0.329,0.405
OAK,AL,2008,161,75,86,FALSE,,,646,690,0.242,0.318,0.369,0.687,0.328,0.392
PHI,NL,2008,162,92,70,TRUE,4,1,799,680,0.255,0.332,0.438,0.77,0.329,0.41
PIT,NL,2008,162,67,95,FALSE,,,735,884,0.258,0.32,0.403,0.723,0.362,0.454
SDP,NL,2008,162,63,99,FALSE,,,637,764,0.25,0.317,0.39,0.707,0.332,0.409
SEA,AL,2008,162,61,101,FALSE,,,671,811,0.265,0.318,0.389,0.707,0.351,0.433
SFG,NL,2008,162,72,90,FALSE,,,640,759,0.262,0.321,0.382,0.703,0.341,0.404
STL,NL,2008,162,86,76,FALSE,,,779,725,0.281,0.35,0.433,0.783,0.332,0.431
TBR,AL,2008,162,97,65,TRUE,2,2,774,671,0.26,0.34,0.422,0.762,0.314,0.4
TEX,AL,2008,162,79,83,FALSE,,,901,967,0.283,0.354,0.462,0.816,0.362,0.455
TOR,AL,2008,162,86,76,FALSE,,,714,610,0.264,0.331,0.399,0.73,0.309,0.38
WSN,NL,2008,161,59,102,FALSE,,,641,825,0.251,0.323,0.373,0.696,0.343,0.436
ARI,NL,2007,162,90,72,TRUE,3,3,712,732,0.25,0.321,0.413,0.734,0.334,0.42
ATL,NL,2007,162,84,78,FALSE,,,810,733,0.275,0.339,0.435,0.774,0.327,0.415
BAL,AL,2007,162,69,93,FALSE,,,756,868,0.272,0.333,0.412,0.745,0.354,0.412
BOS,AL,2007,162,96,66,TRUE,1,1,867,657,0.279,0.362,0.444,0.806,0.314,0.392
CHC,NL,2007,162,85,77,TRUE,5,4,752,690,0.271,0.333,0.422,0.755,0.322,0.399
CHW,AL,2007,162,72,90,FALSE,,,693,839,0.246,0.318,0.404,0.722,0.338,0.435
CIN,NL,2007,162,72,90,FALSE,,,783,853,0.267,0.335,0.436,0.771,0.343,0.456
CLE,AL,2007,162,96,66,TRUE,1,3,811,704,0.268,0.343,0.428,0.771,0.322,0.407
COL,NL,2007,163,90,73,TRUE,3,2,860,758,0.28,0.354,0.437,0.791,0.33,0.423
DET,AL,2007,162,88,74,FALSE,,,887,797,0.287,0.345,0.458,0.803,0.338,0.427
FLA,NL,2007,162,71,91,FALSE,,,790,891,0.267,0.336,0.448,0.784,0.364,0.442
HOU,NL,2007,162,73,89,FALSE,,,723,813,0.26,0.33,0.412,0.742,0.337,0.454
KCR,AL,2007,162,69,93,FALSE,,,706,778,0.261,0.322,0.388,0.71,0.339,0.445
LAA,AL,2007,162,94,68,TRUE,2,4,822,731,0.284,0.345,0.417,0.762,0.328,0.412
LAD,NL,2007,162,82,80,FALSE,,,735,727,0.275,0.337,0.406,0.743,0.326,0.399
MIL,NL,2007,162,83,79,FALSE,,,801,776,0.262,0.329,0.456,0.785,0.333,0.422
MIN,AL,2007,162,79,83,FALSE,,,718,725,0.264,0.33,0.391,0.721,0.324,0.431
NYM,NL,2007,162,88,74,FALSE,,,804,750,0.275,0.342,0.432,0.774,0.329,0.409
NYY,AL,2007,162,94,68,TRUE,2,4,968,777,0.29,0.366,0.463,0.829,0.34,0.417
OAK,AL,2007,162,76,86,FALSE,,,741,758,0.256,0.338,0.407,0.745,0.329,0.404
PHI,NL,2007,162,89,73,TRUE,4,4,892,821,0.274,0.354,0.458,0.812,0.346,0.451
PIT,NL,2007,162,68,94,FALSE,,,724,846,0.263,0.325,0.411,0.736,0.352,0.447
SDP,NL,2007,163,89,74,FALSE,,,741,666,0.251,0.322,0.411,0.733,0.311,0.374
SEA,AL,2007,162,88,74,FALSE,,,794,813,0.287,0.337,0.425,0.762,0.349,0.431
SFG,NL,2007,162,71,91,FALSE,,,683,720,0.254,0.322,0.387,0.709,0.334,0.405
STL,NL,2007,162,78,84,FALSE,,,725,829,0.274,0.337,0.405,0.742,0.336,0.431
TBD,AL,2007,162,66,96,FALSE,,,782,944,0.268,0.336,0.433,0.769,0.358,0.467
TEX,AL,2007,162,75,87,FALSE,,,816,844,0.263,0.328,0.426,0.754,0.356,0.423
TOR,AL,2007,162,83,79,FALSE,,,753,699,0.259,0.327,0.419,0.746,0.315,0.391
WSN,NL,2007,162,73,89,FALSE,,,673,783,0.256,0.325,0.39,0.715,0.339,0.433
ARI,NL,2006,162,76,86,FALSE,,,773,788,0.267,0.331,0.424,0.755,0.335,0.431
ATL,NL,2006,162,79,83,FALSE,,,849,805,0.27,0.337,0.455,0.792,0.343,0.438
BAL,AL,2006,162,70,92,FALSE,,,768,899,0.277,0.339,0.424,0.763,0.357,0.462
BOS,AL,2006,162,86,76,FALSE,,,820,825,0.269,0.351,0.435,0.786,0.343,0.447
CHC,NL,2006,162,66,96,FALSE,,,716,834,0.268,0.319,0.422,0.741,0.342,0.431
CHW,AL,2006,162,90,72,FALSE,,,868,794,0.28,0.342,0.464,0.806,0.326,0.44
CIN,NL,2006,162,80,82,FALSE,,,749,801,0.257,0.336,0.432,0.768,0.337,0.457
CLE,AL,2006,162,78,84,FALSE,,,870,782,0.28,0.349,0.457,0.806,0.335,0.431
COL,NL,2006,162,76,86,FALSE,,,813,812,0.27,0.341,0.433,0.774,0.346,0.438
DET,AL,2006,162,95,67,TRUE,3,2,822,675,0.274,0.329,0.449,0.778,0.321,0.405
FLA,NL,2006,162,78,84,FALSE,,,758,772,0.264,0.331,0.435,0.766,0.347,0.423
HOU,NL,2006,162,82,80,FALSE,,,735,719,0.255,0.332,0.409,0.741,0.319,0.421
KCR,AL,2006,162,62,100,FALSE,,,757,971,0.271,0.332,0.411,0.743,0.367,0.476
LAA,AL,2006,162,89,73,FALSE,,,766,732,0.274,0.334,0.425,0.759,0.316,0.402
LAD,NL,2006,162,88,74,TRUE,5,4,820,751,0.276,0.348,0.432,0.78,0.33,0.418
MIL,NL,2006,162,75,87,FALSE,,,730,833,0.258,0.327,0.42,0.747,0.333,0.438
MIN,AL,2006,162,96,66,TRUE,2,4,801,683,0.287,0.347,0.425,0.772,0.312,0.423
NYM,NL,2006,162,97,65,TRUE,1,3,834,731,0.264,0.334,0.445,0.779,0.323,0.407
NYY,AL,2006,162,97,65,TRUE,1,4,930,767,0.285,0.363,0.461,0.824,0.326,0.413
OAK,AL,2006,162,93,69,TRUE,4,3,771,727,0.26,0.34,0.412,0.752,0.338,0.422
PHI,NL,2006,162,85,77,FALSE,,,865,812,0.267,0.347,0.447,0.794,0.339,0.46
PIT,NL,2006,162,67,95,FALSE,,,691,797,0.263,0.327,0.397,0.724,0.357,0.431
SDP,NL,2006,162,88,74,TRUE,5,4,731,679,0.263,0.332,0.416,0.748,0.312,0.404
SEA,AL,2006,162,78,84,FALSE,,,756,792,0.272,0.325,0.424,0.749,0.337,0.432
SFG,NL,2006,161,76,85,FALSE,,,746,790,0.259,0.324,0.422,0.746,0.337,0.415
STL,NL,2006,161,83,78,TRUE,6,1,781,762,0.269,0.337,0.431,0.768,0.337,0.443
TBD,AL,2006,162,61,101,FALSE,,,689,856,0.255,0.314,0.42,0.734,0.358,0.452
TEX,AL,2006,162,80,82,FALSE,,,835,784,0.278,0.338,0.446,0.784,0.341,0.424
TOR,AL,2006,162,87,75,FALSE,,,809,754,0.284,0.348,0.463,0.811,0.328,0.422
WSN,NL,2006,162,71,91,FALSE,,,746,872,0.262,0.338,0.418,0.756,0.349,0.447
ARI,NL,2005,162,77,85,FALSE,,,696,856,0.256,0.332,0.421,0.753,0.345,0.455
ATL,NL,2005,162,90,72,TRUE,4,4,769,674,0.265,0.333,0.435,0.768,0.333,0.406
BAL,AL,2005,162,74,88,FALSE,,,729,800,0.269,0.327,0.434,0.761,0.336,0.416
BOS,AL,2005,162,95,67,TRUE,3,4,910,805,0.281,0.357,0.454,0.811,0.335,0.441
CHC,NL,2005,162,79,83,FALSE,,,703,714,0.27,0.324,0.44,0.764,0.325,0.407
CHW,AL,2005,162,99,63,TRUE,2,1,741,645,0.262,0.322,0.425,0.747,0.31,0.397
CIN,NL,2005,163,73,90,FALSE,,,820,889,0.261,0.339,0.446,0.785,0.352,0.483
CLE,AL,2005,162,93,69,FALSE,,,790,642,0.271,0.334,0.453,0.787,0.302,0.387
COL,NL,2005,162,67,95,FALSE,,,740,862,0.267,0.333,0.411,0.744,0.362,0.457
DET,AL,2005,162,71,91,FALSE,,,723,787,0.272,0.321,0.428,0.749,0.33,0.436
FLA,NL,2005,162,83,79,FALSE,,,717,732,0.272,0.339,0.409,0.748,0.339,0.402
HOU,NL,2005,163,89,74,TRUE,5,2,693,609,0.256,0.322,0.408,0.73,0.308,0.389
KCR,AL,2005,162,56,106,FALSE,,,701,935,0.263,0.32,0.396,0.716,0.362,0.463
